dgp,replication,origin_index,K_branch,variant,baing_branch,r0,stop_state,n_iter,terminal_r,reached_r_true,trajectory
strong_sbm,2,498.0,primary_fixed_K,B_absolute,released,1,correct_fixed_point,2,5,1,1->5->5
strong_sbm,2,498.0,primary_fixed_K,B_absolute,released,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,2,498.0,primary_fixed_K,B_absolute,released,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,2,498.0,primary_fixed_K,B_absolute,released,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,2,498.0,primary_fixed_K,B_absolute,released,5,correct_fixed_point,1,5,1,5->5
strong_sbm,2,498.0,primary_fixed_K,B_absolute,released,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,2,498.0,primary_fixed_K,B_absolute,released,7,wrong_fixed_point,2,6,0,7->6->6
strong_sbm,2,498.0,primary_fixed_K,B_absolute,released,8,wrong_fixed_point,2,6,0,8->6->6
strong_sbm,2,498.0,primary_fixed_K,B_absolute,released,9,wrong_fixed_point,2,6,0,9->6->6
strong_sbm,2,498.0,primary_fixed_K,B_absolute,zero_fixed,1,correct_fixed_point,2,5,1,1->5->5
strong_sbm,2,498.0,primary_fixed_K,B_absolute,zero_fixed,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,2,498.0,primary_fixed_K,B_absolute,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,2,498.0,primary_fixed_K,B_absolute,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,2,498.0,primary_fixed_K,B_absolute,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,2,498.0,primary_fixed_K,B_absolute,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,2,498.0,primary_fixed_K,B_absolute,zero_fixed,7,wrong_fixed_point,2,6,0,7->6->6
strong_sbm,2,498.0,primary_fixed_K,B_absolute,zero_fixed,8,wrong_fixed_point,2,6,0,8->6->6
strong_sbm,2,498.0,primary_fixed_K,B_absolute,zero_fixed,9,wrong_fixed_point,2,6,0,9->6->6
strong_sbm,2,498.0,primary_fixed_K,C_criterion,released,1,correct_fixed_point,2,5,1,1->5->5
strong_sbm,2,498.0,primary_fixed_K,C_criterion,released,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,2,498.0,primary_fixed_K,C_criterion,released,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,2,498.0,primary_fixed_K,C_criterion,released,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,2,498.0,primary_fixed_K,C_criterion,released,5,correct_fixed_point,1,5,1,5->5
strong_sbm,2,498.0,primary_fixed_K,C_criterion,released,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,2,498.0,primary_fixed_K,C_criterion,released,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,2,498.0,primary_fixed_K,C_criterion,released,8,wrong_fixed_point,2,6,0,8->6->6
strong_sbm,2,498.0,primary_fixed_K,C_criterion,released,9,wrong_fixed_point,2,6,0,9->6->6
strong_sbm,2,498.0,primary_fixed_K,C_criterion,zero_fixed,1,correct_fixed_point,2,5,1,1->5->5
strong_sbm,2,498.0,primary_fixed_K,C_criterion,zero_fixed,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,2,498.0,primary_fixed_K,C_criterion,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,2,498.0,primary_fixed_K,C_criterion,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,2,498.0,primary_fixed_K,C_criterion,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,2,498.0,primary_fixed_K,C_criterion,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,2,498.0,primary_fixed_K,C_criterion,zero_fixed,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,2,498.0,primary_fixed_K,C_criterion,zero_fixed,8,wrong_fixed_point,2,6,0,8->6->6
strong_sbm,2,498.0,primary_fixed_K,C_criterion,zero_fixed,9,wrong_fixed_point,2,6,0,9->6->6
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,released,1,out_of_grid,6,10,0,1->5->6->7->8->9->10
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,released,2,out_of_grid,6,10,0,2->5->6->7->8->9->10
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,released,3,out_of_grid,6,10,0,3->5->6->7->8->9->10
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,released,4,out_of_grid,6,10,0,4->5->6->7->8->9->10
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,released,5,out_of_grid,5,10,0,5->6->7->8->9->10
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,released,6,out_of_grid,4,10,0,6->7->8->9->10
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,released,7,out_of_grid,3,10,0,7->8->9->10
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,released,8,out_of_grid,2,10,0,8->9->10
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,released,9,out_of_grid,1,10,0,9->10
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,1,correct_fixed_point,2,5,1,1->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,8,wrong_fixed_point,1,8,0,8->8
strong_sbm,2,498.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,9,wrong_fixed_point,1,9,0,9->9
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,released,1,correct_fixed_point,2,5,1,1->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,released,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,released,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,released,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,released,5,correct_fixed_point,1,5,1,5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,released,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,released,7,wrong_fixed_point,2,6,0,7->6->6
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,released,8,wrong_fixed_point,2,6,0,8->6->6
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,released,9,wrong_fixed_point,2,6,0,9->6->6
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,1,correct_fixed_point,2,5,1,1->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,7,wrong_fixed_point,2,6,0,7->6->6
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,8,wrong_fixed_point,2,6,0,8->6->6
strong_sbm,2,498.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,9,wrong_fixed_point,2,6,0,9->6->6
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,released,1,correct_fixed_point,2,5,1,1->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,released,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,released,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,released,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,released,5,correct_fixed_point,1,5,1,5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,released,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,released,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,released,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,released,9,wrong_fixed_point,2,6,0,9->6->6
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,1,correct_fixed_point,2,5,1,1->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,2,498.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,9,wrong_fixed_point,2,6,0,9->6->6
strong_sbm,3,0.0,primary_fixed_K,A_incremental,released,1,out_of_grid,5,10,0,1->6->7->8->9->10
strong_sbm,3,0.0,primary_fixed_K,A_incremental,released,2,out_of_grid,6,10,0,2->5->6->7->8->9->10
strong_sbm,3,0.0,primary_fixed_K,A_incremental,released,3,out_of_grid,6,10,0,3->5->6->7->8->9->10
strong_sbm,3,0.0,primary_fixed_K,A_incremental,released,4,out_of_grid,6,10,0,4->5->6->7->8->9->10
strong_sbm,3,0.0,primary_fixed_K,A_incremental,released,5,out_of_grid,5,10,0,5->6->7->8->9->10
strong_sbm,3,0.0,primary_fixed_K,A_incremental,released,6,out_of_grid,4,10,0,6->7->8->9->10
strong_sbm,3,0.0,primary_fixed_K,A_incremental,released,7,out_of_grid,3,10,0,7->8->9->10
strong_sbm,3,0.0,primary_fixed_K,A_incremental,released,8,out_of_grid,2,10,0,8->9->10
strong_sbm,3,0.0,primary_fixed_K,A_incremental,released,9,out_of_grid,1,10,0,9->10
strong_sbm,3,0.0,primary_fixed_K,A_incremental,zero_fixed,1,wrong_fixed_point,2,6,0,1->6->6
strong_sbm,3,0.0,primary_fixed_K,A_incremental,zero_fixed,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,3,0.0,primary_fixed_K,A_incremental,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,3,0.0,primary_fixed_K,A_incremental,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,3,0.0,primary_fixed_K,A_incremental,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,3,0.0,primary_fixed_K,A_incremental,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,3,0.0,primary_fixed_K,A_incremental,zero_fixed,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,3,0.0,primary_fixed_K,A_incremental,zero_fixed,8,wrong_fixed_point,1,8,0,8->8
strong_sbm,3,0.0,primary_fixed_K,A_incremental,zero_fixed,9,wrong_fixed_point,1,9,0,9->9
strong_sbm,3,0.0,primary_fixed_K,B_absolute,released,1,wrong_fixed_point,2,6,0,1->6->6
strong_sbm,3,0.0,primary_fixed_K,B_absolute,released,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,3,0.0,primary_fixed_K,B_absolute,released,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,3,0.0,primary_fixed_K,B_absolute,released,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,3,0.0,primary_fixed_K,B_absolute,released,5,correct_fixed_point,1,5,1,5->5
strong_sbm,3,0.0,primary_fixed_K,B_absolute,released,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,3,0.0,primary_fixed_K,B_absolute,released,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,3,0.0,primary_fixed_K,B_absolute,released,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,3,0.0,primary_fixed_K,B_absolute,released,9,wrong_fixed_point,2,7,0,9->7->7
strong_sbm,3,0.0,primary_fixed_K,B_absolute,zero_fixed,1,wrong_fixed_point,2,6,0,1->6->6
strong_sbm,3,0.0,primary_fixed_K,B_absolute,zero_fixed,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,3,0.0,primary_fixed_K,B_absolute,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,3,0.0,primary_fixed_K,B_absolute,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,3,0.0,primary_fixed_K,B_absolute,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,3,0.0,primary_fixed_K,B_absolute,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,3,0.0,primary_fixed_K,B_absolute,zero_fixed,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,3,0.0,primary_fixed_K,B_absolute,zero_fixed,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,3,0.0,primary_fixed_K,B_absolute,zero_fixed,9,wrong_fixed_point,2,7,0,9->7->7
strong_sbm,3,0.0,primary_fixed_K,C_criterion,released,1,wrong_fixed_point,2,6,0,1->6->6
strong_sbm,3,0.0,primary_fixed_K,C_criterion,released,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,3,0.0,primary_fixed_K,C_criterion,released,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,3,0.0,primary_fixed_K,C_criterion,released,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,3,0.0,primary_fixed_K,C_criterion,released,5,correct_fixed_point,1,5,1,5->5
strong_sbm,3,0.0,primary_fixed_K,C_criterion,released,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,3,0.0,primary_fixed_K,C_criterion,released,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,3,0.0,primary_fixed_K,C_criterion,released,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,3,0.0,primary_fixed_K,C_criterion,released,9,wrong_fixed_point,2,7,0,9->7->7
strong_sbm,3,0.0,primary_fixed_K,C_criterion,zero_fixed,1,wrong_fixed_point,2,6,0,1->6->6
strong_sbm,3,0.0,primary_fixed_K,C_criterion,zero_fixed,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,3,0.0,primary_fixed_K,C_criterion,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,3,0.0,primary_fixed_K,C_criterion,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,3,0.0,primary_fixed_K,C_criterion,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,3,0.0,primary_fixed_K,C_criterion,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,3,0.0,primary_fixed_K,C_criterion,zero_fixed,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,3,0.0,primary_fixed_K,C_criterion,zero_fixed,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,3,0.0,primary_fixed_K,C_criterion,zero_fixed,9,wrong_fixed_point,2,7,0,9->7->7
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,released,1,out_of_grid,5,10,0,1->6->7->8->9->10
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,released,2,out_of_grid,6,10,0,2->5->6->7->8->9->10
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,released,3,out_of_grid,6,10,0,3->5->6->7->8->9->10
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,released,4,out_of_grid,6,10,0,4->5->6->7->8->9->10
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,released,5,out_of_grid,5,10,0,5->6->7->8->9->10
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,released,6,out_of_grid,4,10,0,6->7->8->9->10
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,released,7,out_of_grid,3,10,0,7->8->9->10
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,released,8,out_of_grid,2,10,0,8->9->10
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,released,9,out_of_grid,1,10,0,9->10
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,1,wrong_fixed_point,2,6,0,1->6->6
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,8,wrong_fixed_point,1,8,0,8->8
strong_sbm,3,0.0,robustness_K_equals_d_hat,A_incremental,zero_fixed,9,wrong_fixed_point,1,9,0,9->9
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,released,1,wrong_fixed_point,2,6,0,1->6->6
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,released,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,released,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,released,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,released,5,correct_fixed_point,1,5,1,5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,released,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,released,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,released,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,released,9,wrong_fixed_point,2,7,0,9->7->7
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,1,wrong_fixed_point,2,6,0,1->6->6
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,2,correct_fixed_point,2,5,1,2->5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,3,0.0,robustness_K_equals_d_hat,B_absolute,zero_fixed,9,wrong_fixed_point,2,7,0,9->7->7
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,released,1,wrong_fixed_point,2,6,0,1->6->6
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,released,2,wrong_fixed_point,2,6,0,2->6->6
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,released,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,released,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,released,5,correct_fixed_point,1,5,1,5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,released,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,released,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,released,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,released,9,wrong_fixed_point,2,7,0,9->7->7
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,1,wrong_fixed_point,2,6,0,1->6->6
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,2,wrong_fixed_point,2,6,0,2->6->6
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,3,0.0,robustness_K_equals_d_hat,C_criterion,zero_fixed,9,wrong_fixed_point,2,7,0,9->7->7
strong_sbm,3,124.0,primary_fixed_K,A_incremental,released,1,out_of_grid,5,10,0,1->6->7->8->9->10
strong_sbm,3,124.0,primary_fixed_K,A_incremental,released,2,out_of_grid,5,10,0,2->6->7->8->9->10
strong_sbm,3,124.0,primary_fixed_K,A_incremental,released,3,out_of_grid,6,10,0,3->5->6->7->8->9->10
strong_sbm,3,124.0,primary_fixed_K,A_incremental,released,4,out_of_grid,6,10,0,4->5->6->7->8->9->10
strong_sbm,3,124.0,primary_fixed_K,A_incremental,released,5,out_of_grid,5,10,0,5->6->7->8->9->10
strong_sbm,3,124.0,primary_fixed_K,A_incremental,released,6,out_of_grid,4,10,0,6->7->8->9->10
strong_sbm,3,124.0,primary_fixed_K,A_incremental,released,7,out_of_grid,3,10,0,7->8->9->10
strong_sbm,3,124.0,primary_fixed_K,A_incremental,released,8,out_of_grid,2,10,0,8->9->10
strong_sbm,3,124.0,primary_fixed_K,A_incremental,released,9,out_of_grid,1,10,0,9->10
strong_sbm,3,124.0,primary_fixed_K,A_incremental,zero_fixed,1,wrong_fixed_point,2,6,0,1->6->6
strong_sbm,3,124.0,primary_fixed_K,A_incremental,zero_fixed,2,wrong_fixed_point,2,6,0,2->6->6
strong_sbm,3,124.0,primary_fixed_K,A_incremental,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,3,124.0,primary_fixed_K,A_incremental,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,3,124.0,primary_fixed_K,A_incremental,zero_fixed,5,correct_fixed_point,1,5,1,5->5
strong_sbm,3,124.0,primary_fixed_K,A_incremental,zero_fixed,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,3,124.0,primary_fixed_K,A_incremental,zero_fixed,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,3,124.0,primary_fixed_K,A_incremental,zero_fixed,8,wrong_fixed_point,1,8,0,8->8
strong_sbm,3,124.0,primary_fixed_K,A_incremental,zero_fixed,9,wrong_fixed_point,1,9,0,9->9
strong_sbm,3,124.0,primary_fixed_K,B_absolute,released,1,wrong_fixed_point,2,6,0,1->6->6
strong_sbm,3,124.0,primary_fixed_K,B_absolute,released,2,wrong_fixed_point,2,6,0,2->6->6
strong_sbm,3,124.0,primary_fixed_K,B_absolute,released,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,3,124.0,primary_fixed_K,B_absolute,released,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,3,124.0,primary_fixed_K,B_absolute,released,5,correct_fixed_point,1,5,1,5->5
strong_sbm,3,124.0,primary_fixed_K,B_absolute,released,6,wrong_fixed_point,1,6,0,6->6
strong_sbm,3,124.0,primary_fixed_K,B_absolute,released,7,wrong_fixed_point,1,7,0,7->7
strong_sbm,3,124.0,primary_fixed_K,B_absolute,released,8,wrong_fixed_point,2,7,0,8->7->7
strong_sbm,3,124.0,primary_fixed_K,B_absolute,released,9,wrong_fixed_point,2,7,0,9->7->7
strong_sbm,3,124.0,primary_fixed_K,B_absolute,zero_fixed,1,wrong_fixed_point,2,6,0,1->6->6
strong_sbm,3,124.0,primary_fixed_K,B_absolute,zero_fixed,2,wrong_fixed_point,2,6,0,2->6->6
strong_sbm,3,124.0,primary_fixed_K,B_absolute,zero_fixed,3,correct_fixed_point,2,5,1,3->5->5
strong_sbm,3,124.0,primary_fixed_K,B_absolute,zero_fixed,4,correct_fixed_point,2,5,1,4->5->5
strong_sbm,3,124.0,primary_fixed_K,B_absolute,zero_fixed,5,correct_fixed_point,1,5,1,5->5
